Probe Name,Annotation,Accession #,NS Probe ID,Class Name,Analyte Type,% Samples above Threshold,Positive Flag,Class Active,Avg Count,Min Count,Max Count,20220412_209753990323_F12-82408-6_05.RCC,20220412_209753990323_F13-28768-1_02.RCC ,20220412_209753990323_F13-78109-1_09.RCC ,20220412_209753990323_F13-82836-4_04.RCC,20220412_209753990323_F14-08645-3_01.RCC,20220412_209753990323_F14-10362-3_03.RCC,20220412_209753990323_F15-41499-1_10.RCC,20220412_209753990323_F15-85066-4_06.RCC,20220412_209753990323_F16-0040-1_11.RCC,20220412_209753990323_F16-5220-1_08.RCC,20220412_209753990323_PanelStandard1-4745958_12.RCC,20220412_209753990323_f14-07689-1_07.RCC,20220421_209754330323_089-62574_11.RCC,20220421_209754330323_089-79521_10.RCC,20220421_209754330323_F16-2154-3_12.RCC,20220421_209754330323_F18-16288-6-8_04.RCC,20220421_209754330323_F18-32890-3-4_03.RCC,20220421_209754330323_F19-48098-1-2_02.RCC,20220421_209754330323_F19-48476-1-2_01.RCC ,20220421_209754330323_PanelStandard1-4762199_05.RCC 
CD27,,XM_849371.1,XM_849371.1:105,Endogenous,mRNA,100,FALSE,2,81.8,8,630,118,20,17,8,10,26,13,8,21,25,630,10,10,13,20,16,13,18,17,623
CD274,,XM_541302.2,XM_541302.2:75,Endogenous,mRNA,100,FALSE,2,325.65,54,1641,291,86,177,152,79,409,208,143,344,392,1432,129,54,100,297,203,121,140,115,1641
CD276,,XM_849111.1,XM_849111.1:2400,Endogenous,mRNA,100,FALSE,2,465.6,130,1757,477,379,547,178,163,543,286,170,343,455,1612,331,194,130,272,337,355,339,444,1757
CD28,,NM_001003087.1,NM_001003087.1:320,Endogenous,mRNA,100,FALSE,2,193,16,1053,142,69,90,42,72,229,124,31,294,245,936,16,45,16,175,88,80,90,23,1053
CD34,,NM_001003341.1,NM_001003341.1:2083,Endogenous,mRNA,100,FALSE,2,1067.95,319,2765,446,1520,1878,1020,833,1171,836,609,891,1213,1272,442,319,483,889,1181,1312,2765,964,1315
CD36,,NM_001177734.2,NM_001177734.2:480,Endogenous,mRNA,100,FALSE,2,326,68,1135,186,109,491,114,88,442,415,131,256,295,1102,206,68,113,258,132,188,661,130,1135
CD37,,XM_541497.4,XM_541497.4:829,Endogenous,mRNA,100,FALSE,2,308.4,69,1450,185,193,196,190,69,188,204,257,110,211,1291,218,103,92,209,190,217,355,240,1450
CD38,,NM_001003143.1,NM_001003143.1:325,Endogenous,mRNA,100,FALSE,2,1792.95,438,3593,741,970,3593,943,650,1715,1500,2083,1681,3163,1415,2009,438,2397,1682,1895,1442,2475,3469,1598
CD3D,,XM_536556.2,XM_536556.2:435,Endogenous,mRNA,100,FALSE,2,213.15,7,1245,192,13,54,35,7,347,179,40,190,264,1093,18,89,17,211,143,86,30,10,1245
CD3E,,NM_001003379.1,NM_001003379.1:445,Endogenous,mRNA,100,FALSE,2,261,15,1236,694,50,88,68,15,381,191,42,276,329,1218,29,43,33,269,139,62,29,28,1236
CD3EAP,,XM_022405335.1,XM_022405335.1:1332,Endogenous,mRNA,100,FALSE,2,205.3,32,911,161,76,61,71,32,327,139,82,234,219,907,87,72,69,239,153,93,105,68,911
CD3G,,XM_005619711.3,XM_005619711.3:222,Endogenous,mRNA,100,FALSE,2,118.25,10,746,132,16,40,20,10,121,67,21,107,146,633,18,21,16,120,65,25,28,13,746
CD4,,NM_001003252.1,NM_001003252.1:1350,Endogenous,mRNA,100,FALSE,2,261.15,27,1258,146,49,134,103,30,389,291,71,354,263,1174,32,159,63,231,189,174,86,27,1258
CD40,,NM_001002982.1,NM_001002982.1:655,Endogenous,mRNA,100,FALSE,2,336,98,1626,421,229,292,252,165,98,162,112,147,255,1507,109,111,167,200,215,153,326,173,1626
CD40LG,,NM_001002981.1,NM_001002981.1:954,Endogenous,mRNA,100,FALSE,2,200.85,6,1312,56,18,83,29,8,212,268,31,171,193,1212,21,97,6,145,67,56,19,13,1312
CD44,,NM_001197022.1,NM_001197022.1:455,Endogenous,mRNA,100,FALSE,2,3717.15,872,19922,19922,1394,3544,1701,872,1054,8485,2463,6732,3947,2002,2986,2276,2028,1815,1670,1118,6309,1989,2036
CD47,,NM_001080721.1,NM_001080721.1:252,Endogenous,mRNA,100,FALSE,2,3305,1105,5967,1662,4358,4198,2923,2207,4469,2166,3341,2695,5955,1155,4208,1105,2922,5675,3532,1827,4403,5967,1332
CD48,,XM_545759.5,XM_545759.5:737,Endogenous,mRNA,100,FALSE,2,314.8,44,1998,222,94,290,143,45,120,180,133,171,123,1792,189,44,89,99,71,110,275,108,1998
CD5,,XM_005631690.3,XM_005631690.3:1585,Endogenous,mRNA,100,FALSE,2,377.15,65,1644,532,119,355,99,65,494,415,87,215,414,1552,122,115,68,275,252,311,160,249,1644
CD53,,XM_003639132.2,XM_003639132.2:424,Endogenous,mRNA,100,FALSE,2,409.35,142,1351,477,253,490,348,165,209,395,321,172,262,1249,332,142,160,306,277,275,602,401,1351
CD55,,XM_022420853.1,XM_022420853.1:648,Endogenous,mRNA,100,FALSE,2,423.1,95,1204,132,387,219,142,95,554,501,374,345,292,1150,584,108,305,364,392,413,433,468,1204
CD58,,XM_014120568.2,XM_014120568.2:1289,Endogenous,mRNA,100,FALSE,2,554.65,116,1853,436,429,404,339,129,842,394,336,656,690,1710,450,116,257,486,464,194,445,463,1853
CD59,,XM_022405336.1,XM_022405336.1:735,Endogenous,mRNA,100,FALSE,2,8108.8,1741,21488,6315,8202,6832,6155,2501,9378,11456,10899,5607,10838,1741,10725,5322,7890,5925,8619,11938,21488,8522,1823
CD6,,XM_014121151.1,XM_014121151.1:1759,Endogenous,mRNA,100,FALSE,2,112.2,9,919,147,33,45,23,9,11,32,20,12,29,797,16,22,31,18,12,14,23,31,919
CD63,,XM_005625462.1,XM_005625462.1:255,Endogenous,mRNA,100,FALSE,2,8797.95,1335,22902,9680,10496,11043,5789,8310,9151,8965,9593,11485,8811,1335,13106,2607,6470,4653,5521,5565,22902,19013,1464
CD68,,XM_022418524.1,XM_022418524.1:1153,Endogenous,mRNA,100,FALSE,2,777.5,334,1651,612,469,1651,534,334,829,1045,623,534,601,1334,629,427,418,549,543,821,1459,708,1430
CD7,,XM_844435.4,XM_844435.4:460,Endogenous,mRNA,100,FALSE,2,84.65,7,658,50,7,7,33,7,29,18,16,15,50,621,17,11,21,61,21,17,16,18,658
CD70,,XM_542136.4,XM_542136.4:258,Endogenous,mRNA,100,FALSE,2,393.25,28,2459,112,38,90,47,109,459,282,59,2459,347,1359,69,75,28,259,149,115,248,192,1369
CD74,,XM_005619298.3,XM_005619298.3:399,Endogenous,mRNA,100,FALSE,2,5156.1,911,14475,14475,4790,11218,7866,4578,5006,4538,3094,3468,4153,911,5572,2251,3933,3656,2229,4060,12416,3949,959
CD79A,,NM_001313834.1,NM_001313834.1:620,Endogenous,mRNA,100,FALSE,2,228.35,15,1403,670,23,42,120,27,57,22,15,32,65,1244,21,66,568,69,41,25,17,40,1403
CD79B,,XM_005624254.3,XM_005624254.3:194,Endogenous,mRNA,100,FALSE,2,112.75,6,954,187,7,18,29,8,12,8,7,15,20,893,11,6,15,6,14,12,17,16,954
CD80,,NM_001003147.1,NM_001003147.1:705,Endogenous,mRNA,100,FALSE,2,296.55,60,1834,167,139,131,186,60,109,124,123,103,158,1726,190,70,75,141,108,110,212,165,1834
CD81,,XM_014120935.1,XM_014120935.1:339,Endogenous,mRNA,100,FALSE,2,8623.8,796,18627,7053,11336,10553,8933,8275,11018,7710,10235,7285,10086,796,10077,4246,6824,8167,8729,8552,18627,13021,953
CD83,,XM_847554.5,XM_847554.5:440,Endogenous,mRNA,100,FALSE,2,715.25,174,2001,469,600,1037,339,174,840,663,464,767,597,1837,408,208,494,679,662,446,999,621,2001
CD84,,XM_005640884.3,XM_005640884.3:867,Endogenous,mRNA,100,FALSE,2,205.35,28,1126,119,86,191,100,54,74,119,119,64,107,1125,94,28,90,116,76,63,222,134,1126
CD86,,NM_001003146.1,NM_001003146.1:20,Endogenous,mRNA,100,FALSE,2,691.25,195,1662,370,593,987,627,399,711,596,618,465,637,1158,878,195,320,438,380,601,1662,898,1292
CD8A,,XM_850452.1,XM_850452.1:530,Endogenous,mRNA,100,FALSE,2,310.5,13,1348,384,25,103,53,13,729,343,67,457,337,1224,39,190,23,333,252,208,56,26,1348
CD8B,,XM_859954.4,XM_859954.4:320,Endogenous,mRNA,100,FALSE,2,354.35,55,1534,177,136,182,124,129,653,225,99,562,523,1446,57,56,84,325,250,176,294,55,1534
CD9,,XM_005637440.2,XM_005637440.2:569,Endogenous,mRNA,100,FALSE,2,3942.8,563,10227,1750,6586,6067,1407,3208,6419,2778,3892,3357,2559,1332,10227,563,1751,2489,2914,5441,8892,5868,1356
CD96,,XM_545094.2,XM_545094.2:750,Endogenous,mRNA,100,FALSE,2,164.65,10,1529,56,20,19,25,14,10,13,19,12,15,1400,19,15,18,11,16,25,27,30,1529
CD99,,XM_014111551.1,XM_014111551.1:1960,Endogenous,mRNA,100,FALSE,2,954.55,342,1520,1214,657,968,1201,342,468,1072,986,771,1345,1361,412,1344,666,966,1186,453,1222,937,1520
CDH1,,NM_001287125.1,NM_001287125.1:1698,Endogenous,mRNA,100,FALSE,2,292.1,14,1965,74,72,781,54,46,34,36,254,57,37,1857,108,14,111,43,29,38,164,68,1965
CDH5,,XM_546894.6,XM_546894.6:1713,Endogenous,mRNA,100,FALSE,2,231.6,50,686,97,268,442,200,275,132,76,96,173,200,686,203,50,122,82,66,106,463,214,681
CDK1,,XM_014112825.1,XM_014112825.1:578,Endogenous,mRNA,100,FALSE,2,623.5,97,1503,525,473,1503,110,195,942,548,234,963,1328,1261,357,166,97,313,223,237,1319,343,1333
CDK4,,XM_022424104.1,XM_022424104.1:621,Endogenous,mRNA,100,FALSE,2,5541.7,739,54129,1712,3405,5075,894,987,6046,3310,4495,3765,54129,1314,4720,739,1114,1219,1771,3149,7453,4168,1369
CDKN1A,,XM_532125.2,XM_532125.2:1895,Endogenous,mRNA,100,FALSE,2,926.5,123,2977,2977,697,606,802,123,504,1359,685,1413,1378,1015,557,932,412,1237,1214,418,565,445,1191
CDKN2A,,XM_003431598.2,XM_003431598.2:374,Endogenous,mRNA,100,FALSE,2,526.9,67,2156,98,1008,526,223,348,918,67,600,360,2156,684,326,185,306,103,313,474,600,543,700
CDKN2B,,NM_001146269.1,NM_001146269.1:94,Endogenous,mRNA,100,FALSE,2,367.4,63,1531,148,303,221,433,219,79,117,154,186,276,1334,63,225,502,201,542,230,354,230,1531
CDKN2C,,XM_005629013.2,XM_005629013.2:375,Endogenous,mRNA,100,FALSE,2,1322,277,3063,532,1489,2653,329,498,2203,1160,1231,1466,2770,1335,1325,277,347,564,464,1435,3063,1850,1449
CEACAM1,,NM_001097557.1,NM_001097557.1:627,Endogenous,mRNA,100,FALSE,2,823.85,269,1844,614,370,694,445,404,1844,805,291,1249,1599,1269,370,312,269,1659,980,725,776,434,1368
CEBPA,,XM_005616767.1,XM_005616767.1:815,Endogenous,mRNA,100,FALSE,2,763.5,367,1544,452,592,1012,668,569,673,861,589,576,712,1480,367,681,517,862,747,898,864,606,1544
CEBPB,,XM_005635170.3,XM_005635170.3:644,Endogenous,mRNA,100,FALSE,2,480.45,197,1498,1498,197,500,545,198,252,235,290,1111,372,778,218,403,392,346,350,303,562,202,857
CFB,,XM_003431676.3,XM_003431676.3:1664,Endogenous,mRNA,100,FALSE,2,607.55,169,2197,272,208,534,425,169,544,485,585,592,736,2002,703,306,415,515,336,224,442,461,2197
CFD,,XM_542213.6,XM_542213.6:336,Endogenous,mRNA,100,FALSE,2,238.85,75,618,613,83,199,209,83,300,231,96,213,190,573,75,249,171,256,216,187,136,79,618
CFI,,XM_014109975.2,XM_014109975.2:752,Endogenous,mRNA,100,FALSE,2,843.7,251,1768,645,489,847,726,322,371,721,1435,1006,820,1464,1136,251,796,521,505,543,1768,902,1606
CFP,,XM_548978.6,XM_548978.6:1720,Endogenous,mRNA,100,FALSE,2,186.75,34,1130,77,86,90,52,55,156,110,54,113,115,1043,123,34,62,102,72,62,93,106,1130
CH25H,,NM_001313827.1,NM_001313827.1:507,Endogenous,mRNA,100,FALSE,2,581.45,201,1768,627,224,445,761,265,511,506,288,494,759,1681,307,670,505,526,325,414,352,201,1768
CHEK2,,XM_022410496.1,XM_022410496.1:1205,Endogenous,mRNA,100,FALSE,2,405.65,142,1075,190,240,475,187,142,520,407,314,296,699,974,250,173,169,514,523,235,377,353,1075
CHUK,,XM_005637611.3,XM_005637611.3:1770,Endogenous,mRNA,100,FALSE,2,382.25,72,1505,187,407,459,155,96,356,235,213,338,424,1462,303,72,146,197,216,203,343,328,1505
CIITA,,XM_547128.2,XM_547128.2:148,Endogenous,mRNA,100,FALSE,2,273.85,56,1169,728,141,185,169,188,111,191,144,105,138,1056,194,56,139,108,102,144,276,133,1169
CISH,,XM_541873.6,XM_541873.6:508,Endogenous,mRNA,100,FALSE,2,325,18,1404,127,215,152,56,18,620,285,66,324,294,1285,206,160,114,270,214,300,351,39,1404
CKLF,,NM_001252340.1,NM_001252340.1:293,Endogenous,mRNA,100,FALSE,2,82.5,8,738,8,17,23,21,14,14,17,20,11,12,611,15,10,23,16,20,17,19,24,738
CLDN1,,XM_845155.5,XM_845155.5:400,Endogenous,mRNA,100,FALSE,2,450.05,62,1829,117,357,345,213,94,231,162,461,373,334,1734,324,131,134,62,207,133,407,1353,1829
CLEC4A,,XM_014108320.2,XM_014108320.2:528,Endogenous,mRNA,100,FALSE,2,330.7,124,989,148,209,261,180,124,359,237,195,350,509,877,280,136,154,427,362,167,320,330,989
CLEC5A,,XM_014119959.2,XM_014119959.2:640,Endogenous,mRNA,100,FALSE,2,188.3,7,1767,22,11,21,9,13,14,18,22,19,20,1694,14,8,27,7,21,18,18,23,1767
CLEC7A,,XM_022411028.1,XM_022411028.1:630,Endogenous,mRNA,100,FALSE,2,267,30,1501,104,43,219,39,30,345,295,55,341,282,1354,49,63,41,196,128,103,108,44,1501
CLU,,NM_001003370.1,NM_001003370.1:762,Endogenous,mRNA,100,FALSE,2,14430.95,1301,30353,7437,16315,15954,26272,3311,3802,10220,27377,10123,21892,1301,13190,17346,18719,21118,16159,6498,19830,30353,1402
CMA1,,NM_001013424.1,NM_001013424.1:550,Endogenous,mRNA,100,FALSE,2,131.6,6,654,57,22,59,22,6,241,130,20,207,223,552,18,32,20,175,102,50,29,13,654
CMKLR1,,XM_022410212.1,XM_022410212.1:560,Endogenous,mRNA,100,FALSE,2,478.25,136,1239,322,333,446,219,298,494,476,457,329,512,1208,369,136,412,316,475,451,554,519,1239
CNP,,XM_005624476.3,XM_005624476.3:1200,Endogenous,mRNA,100,FALSE,2,6274.4,927,11449,3825,9773,7497,6703,3699,4682,5014,7756,2436,6705,927,8701,4178,8490,9660,11449,7974,7279,7706,1034
COL1A1,,NM_001003090.1,NM_001003090.1:4027,Endogenous,mRNA,100,FALSE,2,1738.4,173,5744,3759,1303,2975,2920,3761,1018,173,2104,1925,1371,1010,2416,290,1387,388,238,503,5744,431,1052
COL3A1,,XM_845916.1,XM_845916.1:310,Endogenous,mRNA,100,FALSE,2,1283.05,151,4704,1889,1017,2737,1547,1799,720,460,1200,1492,1194,1384,1054,151,754,546,343,654,4704,552,1464
COLEC12,,XM_022421537.1,XM_022421537.1:1336,Endogenous,mRNA,100,FALSE,2,553.05,92,1406,223,441,1200,444,276,568,321,1406,548,580,734,678,92,391,415,284,157,833,607,863
CPA3,,XM_542828.6,XM_542828.6:922,Endogenous,mRNA,100,FALSE,2,199.3,7,1283,51,13,57,24,8,340,122,20,209,295,1141,9,15,7,212,107,40,24,9,1283
CR1L,,XM_005622317.2,XM_005622317.2:370,Endogenous,mRNA,100,FALSE,2,235.95,21,1259,311,30,59,59,21,425,190,55,308,227,1199,23,43,42,208,124,83,32,21,1259
CR2,,XM_005622319.1,XM_005622319.1:2435,Endogenous,mRNA,100,FALSE,2,365.6,20,2097,434,46,98,83,20,634,286,89,450,347,1838,27,78,45,328,215,122,49,26,2097
CREB1,,XM_014110992.2,XM_014110992.2:259,Endogenous,mRNA,100,FALSE,2,1409.25,385,2941,1013,1524,2941,953,695,2013,993,1059,1450,2032,1040,1876,385,1094,1127,1265,1353,1997,2296,1079
CREB5,,XM_022427523.1,XM_022427523.1:6595,Endogenous,mRNA,100,FALSE,2,365.9,48,953,98,317,248,139,48,403,294,260,420,600,941,154,100,182,420,499,143,338,761,953
CREBBP,,XM_003434864.4,XM_003434864.4:4218,Endogenous,mRNA,100,FALSE,2,1312.55,520,2217,585,1419,2106,741,639,1814,956,1145,1424,1856,1258,1920,520,617,1113,1511,1005,2001,2217,1404
CRP,,XM_545746.2,XM_545746.2:460,Endogenous,mRNA,100,FALSE,2,131.4,4,909,22,14,27,9,4,202,117,19,99,106,835,10,23,20,88,53,41,19,11,909
CSF1,,XM_005621807.2,XM_005621807.2:813,Endogenous,mRNA,100,FALSE,2,1181.5,387,1975,1388,1231,1125,724,626,934,1042,816,1424,1653,1357,1218,387,1061,1223,1413,881,1975,1645,1507
CSF1R,,XM_546306.6,XM_546306.6:1077,Endogenous,mRNA,100,FALSE,2,1011.15,501,1786,726,965,1393,1507,716,1166,876,1045,899,1202,526,1234,501,838,1437,896,946,1786,1011,553
CSF2,,NM_001003245.1,NM_001003245.1:327,Endogenous,mRNA,100,FALSE,2,226.2,6,1557,47,17,67,20,6,279,178,20,220,273,1388,6,22,11,215,117,51,23,7,1557
CSF2RB,,XM_538397.6,XM_538397.6:1387,Endogenous,mRNA,100,FALSE,2,130.05,32,726,166,59,100,84,64,64,41,36,69,73,726,83,32,48,47,38,48,95,47,681
CSF3,,XM_022423955.1,XM_022423955.1:121,Endogenous,mRNA,100,FALSE,2,75.2,10,613,18,19,12,16,19,15,21,20,20,17,554,10,20,22,12,22,25,32,17,613
CSF3R,,XM_005628934.3,XM_005628934.3:2105,Endogenous,mRNA,100,FALSE,2,309.35,17,1830,84,32,132,71,22,372,168,55,544,255,1737,38,147,34,248,167,174,60,17,1830
CTLA4,,NM_001003106.1,NM_001003106.1:1370,Endogenous,mRNA,100,FALSE,2,270.05,23,1336,250,39,119,85,24,393,205,52,394,505,1206,38,36,44,345,179,76,52,23,1336
CTSG,,XM_014115810.2,XM_014115810.2:545,Endogenous,mRNA,100,FALSE,2,306.25,20,1210,103,38,189,63,20,654,457,60,524,493,1108,42,164,47,400,277,182,62,32,1210
CTSH,,XM_536212.3,XM_536212.3:792,Endogenous,mRNA,100,FALSE,2,1030.85,239,3269,1135,845,3269,1075,452,506,776,719,763,822,1723,1074,239,426,611,463,541,2413,871,1894
CTSS,,NM_001002938.1,NM_001002938.1:820,Endogenous,mRNA,100,FALSE,2,1380.45,299,3650,1273,1038,3650,1142,932,1926,1265,1263,1269,1481,1288,1605,299,577,1097,801,813,3257,1205,1428
CTSW,,XM_540846.5,XM_540846.5:114,Endogenous,mRNA,100,FALSE,2,176.5,4,1555,131,12,30,16,4,55,34,12,42,50,1425,17,12,20,28,22,19,34,12,1555
CX3CL1,,NM_001284456.1,NM_001284456.1:399,Endogenous,mRNA,100,FALSE,2,1407.2,310,2550,1226,2291,869,1389,758,1071,808,1147,2026,2308,911,2027,310,1093,2550,1611,797,1909,1997,1046
CX3CR1,,NM_001284491.1,NM_001284491.1:995,Endogenous,mRNA,100,FALSE,2,541.15,124,1085,124,360,602,810,323,735,526,537,344,403,661,686,185,299,678,513,640,1085,584,728
CXCL10,,NM_001010949.1,NM_001010949.1:153,Endogenous,mRNA,100,FALSE,2,698.5,46,4582,3847,91,180,65,67,255,68,118,4582,254,1423,243,46,112,138,68,404,296,92,1621
CXCL11,,XM_003640114.2,XM_003640114.2:89,Endogenous,mRNA,100,FALSE,2,334.7,7,1937,133,29,90,45,7,325,104,51,1215,337,1825,31,27,23,219,146,70,46,34,1937
CXCL12,,NM_001128097.1,NM_001128097.1:142,Endogenous,mRNA,100,FALSE,2,635.25,157,1255,1255,561,754,851,328,191,350,1160,288,354,1097,358,157,734,600,487,293,729,933,1225
CXCL13,,XM_845089.3,XM_845089.3:259,Endogenous,mRNA,100,FALSE,2,255.45,8,1459,1185,59,33,178,8,34,44,37,23,141,1344,43,26,97,139,106,34,52,67,1459
CXCL14,,XM_005626560.1,XM_005626560.1:820,Endogenous,mRNA,100,FALSE,2,1818,62,3703,908,1841,1648,2399,62,836,798,3267,1110,3703,1439,810,551,3613,3507,3629,747,1814,2001,1677
CXCL16,,XM_844211.3,XM_844211.3:748,Endogenous,mRNA,100,FALSE,2,738.4,404,1343,873,677,1063,660,427,882,803,820,640,810,634,819,480,404,669,579,858,1343,584,743
CXCL8,,NM_001003200.1,NM_001003200.1:144,Endogenous,mRNA,100,FALSE,2,711.35,19,8981,126,91,250,237,79,119,28,159,8981,203,1481,28,391,45,77,19,41,245,35,1592
CXCR1,,XM_005640640.2,XM_005640640.2:157,Endogenous,mRNA,100,FALSE,2,165.55,21,1035,42,31,94,35,24,173,124,24,185,150,989,21,31,32,125,95,44,33,24,1035
CXCR2,,NM_001003151.2,NM_001003151.2:144,Endogenous,mRNA,100,FALSE,2,277.4,15,1834,52,25,93,45,17,321,166,32,418,288,1703,18,51,23,214,124,63,46,15,1834
CXCR3,,NM_001011887.1,NM_001011887.1:913,Endogenous,mRNA,100,FALSE,2,183.4,8,1094,107,8,97,33,27,206,218,40,156,153,981,21,103,14,138,89,107,52,24,1094
CXCR4,,NM_001048026.1,NM_001048026.1:575,Endogenous,mRNA,100,FALSE,2,756.5,278,1708,611,676,1656,413,764,702,653,541,813,875,1079,562,278,352,400,475,842,1708,538,1192
CXCR5,,XM_546496.3,XM_546496.3:1426,Endogenous,mRNA,100,FALSE,2,344.85,31,1989,239,45,109,76,31,460,300,79,242,410,1900,33,96,74,336,214,150,69,45,1989
CXCR6,,XM_846798.4,XM_846798.4:806,Endogenous,mRNA,100,FALSE,2,330.9,20,1792,220,20,100,62,21,692,275,65,361,379,1576,27,155,21,310,245,208,62,27,1792
CYBB,,NM_001100291.1,NM_001100291.1:447,Endogenous,mRNA,100,FALSE,2,860.85,206,1816,916,735,1486,791,541,882,896,642,481,739,1475,1214,206,444,507,456,637,1816,756,1597
CYFIP2,,XM_005619254.3,XM_005619254.3:3075,Endogenous,mRNA,100,FALSE,2,2622.45,785,5644,1162,3970,3320,3286,785,3133,1740,1938,1975,4443,1668,2424,976,2923,5644,4011,1715,2430,3059,1847
CYLD,,XM_005617569.3,XM_005617569.3:2561,Endogenous,mRNA,100,FALSE,2,1291.55,359,2186,762,1584,1779,1284,453,1571,1318,1217,990,2174,1109,1453,359,1054,1540,1687,894,1334,2186,1083
DDR1,,XM_022425821.1,XM_022425821.1:1795,Endogenous,mRNA,100,FALSE,2,1034.7,211,1942,211,1389,1150,461,435,653,1365,711,1118,1603,1050,1942,751,553,714,1075,1319,1233,1899,1062
DDX5,,NM_001286941.1,NM_001286941.1:1520,Endogenous,mRNA,100,FALSE,2,7235.7,770,15177,4217,7894,10810,4044,3835,10117,5767,8244,8920,15177,770,12587,3493,3558,8458,6563,5386,10609,13426,839
DDX58,,XM_003639385.2,XM_003639385.2:3372,Endogenous,mRNA,100,FALSE,2,448.65,85,1520,373,144,407,144,212,433,245,463,602,780,1336,449,85,183,407,236,269,365,320,1520
DEFB1,,NM_001113713.1,NM_001113713.1:229,Endogenous,mRNA,95,FALSE,2,224.35,1,1379,34,23,62,27,2,360,245,15,215,244,1323,1,80,15,206,129,102,18,7,1379
DLA-12,,NM_001014379.1,NM_001014379.1:1298,Endogenous,mRNA,100,FALSE,2,866.9,126,1884,1884,493,1278,946,334,1169,777,543,648,1695,1323,1028,196,126,659,527,944,640,572,1556
DLA-64,,NM_001014378.1,NM_001014378.1:517,Endogenous,mRNA,100,FALSE,2,931.75,296,4257,4257,482,991,727,1029,920,668,752,1060,1203,585,966,296,697,480,429,1016,967,545,565
DLA-79,,NM_001020810.1,NM_001020810.1:246,Endogenous,mRNA,100,FALSE,2,679.75,123,1781,670,433,287,681,373,1154,601,438,334,1781,1151,786,123,545,684,472,533,735,616,1198
DLA-DMA,,NM_001048099.1,NM_001048099.1:255,Endogenous,mRNA,100,FALSE,2,491.15,124,1152,269,320,621,309,124,702,675,309,441,491,1073,401,282,150,442,432,589,685,356,1152
DLA-DMB,,NM_001271070.1,NM_001271070.1:507,Endogenous,mRNA,100,FALSE,2,704.85,203,1648,736,508,1014,589,203,1008,776,388,579,749,1528,634,251,254,627,546,642,979,438,1648
DLA-DOB,,NM_001048127.1,NM_001048127.1:747,Endogenous,mRNA,100,FALSE,2,349.3,63,1521,449,91,176,147,63,495,264,81,402,340,1449,108,282,80,301,314,240,120,63,1521
DLA-DQA1,,NM_001011726.1,NM_001011726.1:441,Endogenous,mRNA,100,FALSE,2,1539.55,376,2829,2795,1697,1300,1981,383,1687,2030,820,1341,1858,1775,2829,579,1087,1211,376,1281,2798,1108,1855
DLA-DQB1,,NM_001014381.1,NM_001014381.1:261,Endogenous,mRNA,100,FALSE,2,1597.15,2,7019,4525,2330,7019,3205,6,2,1743,1502,1551,1460,871,2682,995,91,547,8,1732,10,720,944
DLA-DRA,,NM_001011723.1,NM_001011723.1:190,Endogenous,mRNA,100,FALSE,2,4015.4,1548,12731,8803,3503,9085,4618,3376,5219,3659,2387,2552,2950,1548,4919,1702,2089,2037,1667,2913,12731,2905,1645
DLA88,,NM_001014767.1,NM_001014767.1:298,Endogenous,mRNA,100,FALSE,2,5080.55,1048,17860,17860,3664,6349,8978,3811,3234,3907,3951,5942,9050,1048,7025,3001,3567,1425,1911,5604,5283,4777,1224
DMBT1,,XM_014109111.2,XM_014109111.2:4746,Endogenous,mRNA,100,FALSE,2,242.95,4,1558,39,10,66,25,4,327,169,33,331,266,1472,8,34,9,230,155,90,23,10,1558
DNMT3A,,XM_022404353.1,XM_022404353.1:2540,Endogenous,mRNA,100,FALSE,2,956.55,295,2148,494,653,1140,368,398,2148,1408,549,1773,1915,1106,545,468,295,1595,1069,551,577,908,1171
DOCK2,,XM_546246.5,XM_546246.5:2790,Endogenous,mRNA,100,FALSE,2,410.2,129,1289,596,172,319,249,176,502,368,226,446,477,1172,252,129,156,425,313,321,381,235,1289
DOK1,,XM_540216.6,XM_540216.6:685,Endogenous,mRNA,100,FALSE,2,685.15,304,1828,787,558,810,408,334,456,408,519,1054,376,1591,771,445,360,304,506,510,831,847,1828
DOK2,,XM_543259.6,XM_543259.6:360,Endogenous,mRNA,100,FALSE,2,223.55,25,1318,54,72,114,59,25,264,82,57,261,207,1278,109,37,53,138,107,70,97,69,1318
DUSP1,,XM_014112785.1,XM_014112785.1:935,Endogenous,mRNA,100,FALSE,2,1249.55,459,2878,2240,1685,1935,2878,709,1310,459,1349,1477,1152,1176,729,1419,1187,551,716,693,1509,599,1218
DUSP6,,XM_860257.1,XM_860257.1:1675,Endogenous,mRNA,100,FALSE,2,7044.05,1228,19709,7915,12384,2527,3738,5385,19709,5728,9163,6221,5187,1228,6721,4322,3516,4216,6227,8686,11635,15071,1302
EBI3,,XM_005633060.3,XM_005633060.3:1029,Endogenous,mRNA,100,FALSE,2,221.35,33,991,98,40,182,35,33,355,232,52,154,198,876,195,114,47,198,183,209,90,145,991
EGFR,,XM_533073.2,XM_533073.2:2220,Endogenous,mRNA,100,FALSE,2,622.95,118,2069,118,723,201,214,262,793,572,539,507,1388,1843,457,245,194,459,245,224,461,945,2069
EGR1,,XM_846145.3,XM_846145.3:1787,Endogenous,mRNA,100,FALSE,2,2614.5,512,6307,5535,5179,1141,1720,1938,1920,1589,2173,5581,1533,1465,512,6307,1374,3339,1772,1155,2399,3912,1746
